Movie_Title,Movie_ID,ListOfCertificate
Star Wars: Episode VII - The Force Awakens,2488496,PG-13
Harry Potter and the Deathly Hallows: Part 2,1201607,PG-13
The Lord of the Rings: The Return of the King,167260,PG-13
Jurassic World: Dominion,8041270,PG-13
Star Wars: Episode III - Revenge of the Sith,121766,PG-13
Guardians of the Galaxy Vol. 2,3896198,PG-13
Finding Nemo,266543,G
Spider-Man: Far from Home,6320628,PG-13
Frozen,2294629,PG
Jurassic Park,107290,PG-13
Spider-Man,145487,PG-13
Jumanji: Welcome to the Jungle,2283362,PG-13
Captain America: Civil War,3498820,PG-13
Transformers: Revenge of the Fallen,1055369,PG-13
The Hunger Games,1392170,PG-13
Doctor Strange in the Multiverse of Madness,9419884,PG-13
Wonder Woman,451279,PG-13
Iron Man 3,1300854,PG-13
Toy Story 3,435761,G
The Lion King,110357,G
Jurassic World: Fallen Kingdom,4881806,PG-13
Pirates of the Caribbean: Dead Man's Chest,383574,PG-13
The Twilight Saga: New Moon,1259571,PG-13
The Twilight Saga: Eclipse,1325004,PG-13
The Hobbit: An Unexpected Journey,903624,PG-13
Pirates of the Caribbean: The Curse of the Black Pearl,325980,PG-13
Harry Potter and the Deathly Hallows: Part 1,926084,PG-13
Harry Potter and the Half-Blood Prince,417741,PG
Skyfall,1074638,PG-13
Independence Day,116629,PG-13
Star Wars: Episode VI - Return of the Jedi,86190,PG
The Lord of the Rings: The Fellowship of the Ring,120737,PG-13
Star Wars: Episode II - Attack of the Clones,121765,PG
Thor: Ragnarok,3501632,PG-13
Jumanji: The Next Level,7975244,PG-13
Pirates of the Caribbean: At World's End,449088,PG-13
The Sixth Sense,167404,PG-13
Maleficent,1587310,PG
Iron Man 2,1228705,PG-13
My Big Fat Greek Wedding,259446,PG
Pirates of the Caribbean: On Stranger Tides,1298650,PG-13
Cars,317219,G
Twister,117998,PG-13
Bruce Almighty,315327,PG-13
Transformers: Age of Extinction,2109248,PG-13
Indiana Jones and the Raiders of the Lost Ark,82971,PG
Toy Story 2,120363,G
Harry Potter and the Prisoner of Azkaban,304141,PG
Moana,3521164,PG
Night at the Museum,477347,PG
Men in Black,119654,PG-13
Batman,96895,PG-13
The Hangover Part II,1411697,R
The Hobbit: The Battle of the Five Armies,2310332,"PG-13,R"
Despicable Me,1323594,PG
The Blind Side,878804,PG-13
Solo: A Star Wars Story,3778644,PG-13
I Am Legend,480249,PG-13
Venom,1270797,PG-13
Venom: Let There Be Carnage,7097896,PG-13
The Lorax,1482459,PG
X2: X-Men United,290334,PG-13
A Star Is Born,1517451,R
Mission: Impossible II,120755,PG-13
Kung Fu Panda,441773,PG
Saving Private Ryan,120815,R
Ant-Man and the Wasp,5095030,PG-13
Bohemian Rhapsody,1727824,PG-13
Madagascar 3: Europe's Most Wanted,1277953,PG
Alvin and the Chipmunks,952640,PG
Gladiator,172495,R
The Da Vinci Code,382625,PG-13
Ghost,99653,PG-13
A Quiet Place,6644200,PG-13
Aladdin,103639,G
Interstellar,816692,PG-13
How to Train Your Dragon,892769,PG
Grease,77631,"PG-13,PG"
Dunkirk,5013056,PG-13
Men in Black II,120912,PG-13
Sonic the Hedgehog 2,12412888,PG
Wreck-It Ralph,1772341,PG
Spider-Man: Into the Spider-Verse,4633694,PG
Twilight,1099212,PG-13
Cars 2,1216475,G
22 Jump Street,2294449,R
Teenage Mutant Ninja Turtles,1291150,PG-13
Toy Story,114709,G
Mission: Impossible - Rogue Nation,2381249,PG-13
Madagascar,351283,PG
